,id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERID,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,ISRETWEET,datetime,Cluster,parsed_tweets,stemmed_tokens,is_new_years_tweet,is_eastender_tweet,is_football_tweet
461,550380542299209728,,-0.29634,51.385307,-0.2963399887084961,51.38530731201172,31/12/2014 19:58:41,40911736,LizFish1,Handstand walking is a DEFINITE GOAL for 2015! What are your twenty fifteen goals or resolutions?!  http://t.co/THSvKmd01m,Kingston upon Thames,,0,2014-12-31 19:58:41,1,Handstand walking is a DEFINITE GOAL for What are your twenty fifteen goals or resolutions,"['handstand', 'walk', 'is', 'a', 'definit', 'goal', 'for', 'what', 'are', 'your', 'twenti', 'fifteen', 'goal', 'or', 'resolut']",False,False,True
500,550584070208778240,,-0.296712,51.4033,-0.2967120110988617,51.40330123901367,01/01/2015 09:27:26,2261336599,grapplewithit,@Redpeter99 changed for the benefit of the 1% and made it his political goal to punish the poor and vulnerable. #CameronMustGo #GE2015,Kingston upon Thames,CameronMustGo GE2015,0,2015-01-01 09:27:26,1,changed for the benefit of the and made it his political goal to punish the poor and vulnerable,"['chang', 'for', 'the', 'benefit', 'of', 'the', 'and', 'made', 'it', 'hi', 'polit', 'goal', 'to', 'punish', 'the', 'poor', 'and', 'vulner']",False,False,True
502,550564065412935680,,-0.252094,51.42589,-0.25209400057792664,51.4258918762207,01/01/2015 08:07:56,176829372,1ELMNT,New year; new you. 1. Touch game today at 11am; Wandsworth common. (Burn over 1k calories and run up to 11kms) 2. Reset starts on Monday.,Kingston upon Thames,,0,2015-01-01 08:07:56,1,New year new you Touch game today at am Wandsworth common Burn over k calories and run up to kms Reset starts on Monday,"['new', 'year', 'new', 'you', 'touch', 'game', 'today', 'at', 'am', 'wandsworth', 'common', 'burn', 'over', 'k', 'calori', 'and', 'run', 'up', 'to', 'km', 'reset', 'start', 'on', 'monday']",True,False,True
606,550465731612377088,,-0.251788,51.409206,-0.2517879903316498,51.40920639038086,01/01/2015 01:37:12,1115297108,1Dlovergeo,@Harry_Styles happy new year harry,Kingston upon Thames,,0,2015-01-01 01:37:12,1,happy new year harry,"['happi', 'new', 'year', 'harri']",True,False,True
620,550453880916815872,,-0.304917,51.429787,-0.30491700768470764,51.4297866821289,01/01/2015 00:50:06,192676715,j0hnby,@madeon Deezer won't let it play :( It says 'soon'. Anywhere else we can get the playlist? (Happy New Year too!!),Kingston upon Thames,,0,2015-01-01 00:50:06,1,Deezer won t let it play It says soon Anywhere else we can get the playlist Happy New Year too,"['deezer', 'won', 't', 'let', 'it', 'play', 'It', 'say', 'soon', 'anywher', 'els', 'we', 'can', 'get', 'the', 'playlist', 'happi', 'new', 'year', 'too']",True,False,True
672,550660167994703872,,-0.292098,51.38845,-0.2920979857444763,51.388450622558594,01/01/2015 14:29:49,96559368,JuniorPallanca,Playing wii party with the fam,Kingston upon Thames,,0,2015-01-01 14:29:49,1,Playing wii party with the fam,"['play', 'wii', 'parti', 'with', 'the', 'fam']",False,False,True
687,550657580746682368,,-0.27639,51.41191,-0.2763899862766266,51.41191101074219,01/01/2015 14:19:32,2308639380,Arsene__Knows,Only just woken up and seen Chambers playing at DM! 2015 is going to be a brave new world! #afc #coyg #uta,Kingston upon Thames,afc coyg uta,0,2015-01-01 14:19:32,1,Only just woken up and seen Chambers playing at DM is going to be a brave new world,"['onli', 'just', 'woken', 'up', 'and', 'seen', 'chamber', 'play', 'at', 'DM', 'is', 'go', 'to', 'be', 'a', 'brave', 'new', 'world']",True,False,True
710,550608339202506752,,-0.263169,51.384537,-0.26316899061203003,51.38453674316406,01/01/2015 11:03:52,28092094,ngaacherish,@TehnDiamond: So; I'm curious; what was the first song you heard/played in the New Year ?! Celebration - Kool and the Gang,Kingston upon Thames,,0,2015-01-01 11:03:52,1,So I m curious what was the first song you heard played in the New Year Celebration Kool and the Gang,"['So', 'I', 'm', 'curiou', 'what', 'wa', 'the', 'first', 'song', 'you', 'heard', 'play', 'in', 'the', 'new', 'year', 'celebr', 'kool', 'and', 'the', 'gang']",True,False,True
754,550602021964120064,,-0.28823000000000004,51.36277800000001,-0.2882300019264221,51.36277770996094,01/01/2015 10:38:46,490308552,longygas,Happy new year gasheads round my Xmas and new year with 9 points and lee mansell hope you get a goal I don't mind if you don't celebrate UTG,Kingston upon Thames,,0,2015-01-01 10:38:46,1,Happy new year gasheads round my Xmas and new year with points and lee mansell hope you get a goal I don t mind if you don t celebrate UTG,"['happi', 'new', 'year', 'gashead', 'round', 'my', 'xma', 'and', 'new', 'year', 'with', 'point', 'and', 'lee', 'mansel', 'hope', 'you', 'get', 'a', 'goal', 'I', 'don', 't', 'mind', 'if', 'you', 'don', 't', 'celebr', 'utg']",True,False,True
774,550638231172427777,,-0.288379,51.407475,-0.2883790135383606,51.40747451782226,01/01/2015 13:02:39,915503684,Akhi_Omar,Playing 5 a side football an that,Kingston upon Thames,,0,2015-01-01 13:02:39,1,Playing a side football an that,"['play', 'a', 'side', 'footbal', 'an', 'that']",False,False,True
794,550642491389923328,,-0.252179,51.402023,-0.25217899680137634,51.40202331542969,01/01/2015 13:19:35,134202736,helloblondy, @kingstonnews: Kingstonian to leave Kingsmeadow amid Chelsea takeover rumours http://t.co/6WbLow2obO  < there goes the neighbourhood #ffc,Kingston upon Thames,ffc,0,2015-01-01 13:19:35,1,Kingstonian to leave Kingsmeadow amid Chelsea takeover rumours,"['kingstonian', 'to', 'leav', 'kingsmeadow', 'amid', 'chelsea', 'takeov', 'rumour']",False,False,True
815,550708519373393920,,-0.285648,51.417,-0.285647988319397,51.41699981689453,01/01/2015 17:41:57,347424320,_elliotlamble_,How can I stream the Chelsea game?,Kingston upon Thames,,0,2015-01-01 17:41:57,1,How can I stream the Chelsea game,"['how', 'can', 'I', 'stream', 'the', 'chelsea', 'game']",False,False,True
880,550627925385809921,,-0.300713,51.382694,-0.3007130026817322,51.38269424438477,01/01/2015 12:21:42,32381742,arfry68,@piggsyphil @sheafc75 Ha Ha. Running round Tottenham,Kingston upon Thames,,0,2015-01-01 12:21:42,1,Ha Ha Running round Tottenham,"['Ha', 'Ha', 'run', 'round', 'tottenham']",False,False,True
887,550626946590466048,,-0.267759,51.39515,-0.2677589952945709,51.39514923095703,01/01/2015 12:17:48,351788899,tomcousins1983,@spurs_sel not today Sel; @Ridge_Clipper has my ticket. Hopefully we can put in a good performance and get a goal or 2 #COYS,Kingston upon Thames,COYS,0,2015-01-01 12:17:48,1,not today Sel has my ticket Hopefully we can put in a good performance and get a goal or,"['not', 'today', 'sel', 'ha', 'my', 'ticket', 'hope', 'we', 'can', 'put', 'in', 'a', 'good', 'perform', 'and', 'get', 'a', 'goal', 'or']",False,False,True
892,550626742688563200,,-0.26765300000000003,51.395195,-0.2676529884338379,51.39519500732422,01/01/2015 12:17:00,351788899,tomcousins1983,@spurs_sel not today mate; @Ridge_Clipper has my ticket. Hopefully we can put in a good performance and get a goal or 2 #COYS,Kingston upon Thames,COYS,0,2015-01-01 12:17:00,1,not today mate has my ticket Hopefully we can put in a good performance and get a goal or,"['not', 'today', 'mate', 'ha', 'my', 'ticket', 'hope', 'we', 'can', 'put', 'in', 'a', 'good', 'perform', 'and', 'get', 'a', 'goal', 'or']",False,False,True
938,550687531713708032,,-0.289107,51.36609,-0.28910699486732483,51.3660888671875,01/01/2015 16:18:33,2882521813,BRamphul,Liverpool lol,Kingston upon Thames,,0,2015-01-01 16:18:33,1,Liverpool lol,"['liverpool', 'lol']",False,False,True
942,550683466598469633,,-0.292931,51.361103,-0.2929309904575348,51.36110305786133,01/01/2015 16:02:24,19861703,AdmiralPellaeon,Looks like my players are allergic to bonus points currently! Need a big second half. #FPL #FantasyFootball,Kingston upon Thames,FPL FantasyFootball,0,2015-01-01 16:02:24,1,Looks like my players are allergic to bonus points currently Need a big second half,"['look', 'like', 'my', 'player', 'are', 'allerg', 'to', 'bonu', 'point', 'current', 'need', 'a', 'big', 'second', 'half']",False,False,True
964,550590852377346048,,-0.30646999999999996,51.428204,-0.30647000670433044,51.42820358276367,01/01/2015 09:54:23,336025409,FarahAliGhauri,Everyone has their part to play in a family and if they do it right then in sha Allah life is sweet.,Kingston upon Thames,,0,2015-01-01 09:54:23,1,Everyone has their part to play in a family and if they do it right then in sha Allah life is sweet,"['everyon', 'ha', 'their', 'part', 'to', 'play', 'in', 'a', 'famili', 'and', 'if', 'they', 'do', 'it', 'right', 'then', 'in', 'sha', 'allah', 'life', 'is', 'sweet']",False,False,True
966,550689562381811712,,-0.249166,51.403797,-0.24916599690914154,51.4037971496582,01/01/2015 16:26:37,1440716341,KeithGarman,@SkyFootball game on; come on #SAFC,Kingston upon Thames,SAFC,0,2015-01-01 16:26:37,1,game on come on,"['game', 'on', 'come', 'on']",False,False,True
969,550690395844542465,,-0.272811,51.398705,-0.2728109955787659,51.398704528808594,01/01/2015 16:29:56,1348662787,Deccers_8,Courtious Iva Cahill JT Azpilicueta  Matic Fabregas Willian Oscar Hazard Costa! That's The Team,Kingston upon Thames,,0,2015-01-01 16:29:56,1,Courtious Iva Cahill JT Azpilicueta Matic Fabregas Willian Oscar Hazard Costa That s The Team,"['courtiou', 'iva', 'cahil', 'JT', 'azpilicueta', 'matic', 'fabrega', 'willian', 'oscar', 'hazard', 'costa', 'that', 's', 'the', 'team']",False,False,True
981,550690713659510784,,-0.27300399999999997,51.39873,-0.2730039954185486,51.39873123168945,01/01/2015 16:31:12,1348662787,Deccers_8,Always Guess The Team Right! X,Kingston upon Thames,,0,2015-01-01 16:31:12,1,Always Guess The Team Right X,"['alway', 'guess', 'the', 'team', 'right', 'X']",False,False,True
989,550688940450381824,,-0.25455900000000004,51.380917,-0.2545590102672577,51.38091659545898,01/01/2015 16:24:09,2218132380,tomdownes11,Absolute joke  Arsenal           ,Kingston upon Thames,,0,2015-01-01 16:24:09,1,Absolute joke Arsenal,"['absolut', 'joke', 'arsen']",False,False,True
990,550690771570278400,,-0.25597600000000004,51.38722,-0.25597599148750305,51.3872184753418,01/01/2015 16:31:25,210221420,Jack_Colquhoun,Every team is shit except Chelsea + Southampton. PL is so weak this season; probably the first time I can say it's not the best league.,Kingston upon Thames,,0,2015-01-01 16:31:25,1,Every team is shit except Chelsea Southampton PL is so weak this season probably the first time I can say it s not the best league,"['everi', 'team', 'is', 'shit', 'except', 'chelsea', 'southampton', 'PL', 'is', 'so', 'weak', 'thi', 'season', 'probabl', 'the', 'first', 'time', 'I', 'can', 'say', 'it', 's', 'not', 'the', 'best', 'leagu']",False,False,True
997,550692897256144896,,-0.255709,51.387012,-0.2557089924812317,51.38701248168945,01/01/2015 16:39:52,210221420,Jack_Colquhoun,I'm done. How can we be bringing on Akpom? Is this a a joke to Wenger?,Kingston upon Thames,,0,2015-01-01 16:39:52,1,I m done How can we be bringing on Akpom Is this a a joke to Wenger,"['I', 'm', 'done', 'how', 'can', 'we', 'be', 'bring', 'on', 'akpom', 'Is', 'thi', 'a', 'a', 'joke', 'to', 'wenger']",False,False,True
1024,550724000650129408,,-0.273023,51.398724,-0.27302300930023193,51.39872360229492,01/01/2015 18:43:28,1348662787,Deccers_8,@Levilumeka_ please don't start   arsenal are so shit; 2nd game we have lost,Kingston upon Thames,,0,2015-01-01 18:43:28,1,please don t start arsenal are so shit nd game we have lost,"['pleas', 'don', 't', 'start', 'arsen', 'are', 'so', 'shit', 'nd', 'game', 'we', 'have', 'lost']",False,False,True
1025,550725180310704128,,-0.273019,51.398727,-0.2730189859867096,51.39872741699219,01/01/2015 18:48:09,1348662787,Deccers_8,@Levilumeka_ that's good then coz arsenal are the shittest team in London,Kingston upon Thames,,0,2015-01-01 18:48:09,1,that s good then coz arsenal are the shittest team in London,"['that', 's', 'good', 'then', 'coz', 'arsen', 'are', 'the', 'shittest', 'team', 'in', 'london']",False,False,True
1027,550717711270289408,,-0.28995,51.385788,-0.2899500131607056,51.38578796386719,01/01/2015 18:18:28,169694283,LucaLott,Fs Chelsea.,Kingston upon Thames,,0,2015-01-01 18:18:28,1,Fs Chelsea,"['Fs', 'chelsea']",False,False,True
1030,550718271771922432,,-0.309884,51.391655,-0.3098840117454529,51.39165496826172,01/01/2015 18:20:42,351900884,CharlieRyan96,Fucking dirty yids; come on Chelsea!!!!,Kingston upon Thames,,0,2015-01-01 18:20:42,1,Fucking dirty yids come on Chelsea,"['fuck', 'dirti', 'yid', 'come', 'on', 'chelsea']",False,False,True
1033,550716816621047808,,-0.291188,51.379505,-0.29118800163269043,51.3795051574707,01/01/2015 18:14:55,1144968385,basedchiraga,chelsea always slip against fucking tottenham.,Kingston upon Thames,,0,2015-01-01 18:14:55,1,chelsea always slip against fucking tottenham,"['chelsea', 'alway', 'slip', 'against', 'fuck', 'tottenham']",False,False,True
1037,550724189133762562,,-0.272941,51.398617,-0.27294099330902105,51.39861679077149,01/01/2015 18:44:13,1348662787,Deccers_8,Kane has run Cahill ragid,Kingston upon Thames,,0,2015-01-01 18:44:13,1,Kane has run Cahill ragid,"['kane', 'ha', 'run', 'cahil', 'ragid']",False,False,True
1038,550718168441036801,,-0.314091,51.390156,-0.3140909969806671,51.39015579223633,01/01/2015 18:20:17,351900884,CharlieRyan96,Doesn't sound as if we're playing well at all,Kingston upon Thames,,0,2015-01-01 18:20:17,1,Doesn t sound as if we re playing well at all,"['doesn', 't', 'sound', 'as', 'if', 'we', 're', 'play', 'well', 'at', 'all']",False,False,True
1039,550720063666683904,,-0.306824,51.399544,-0.3068239986896515,51.39954376220703,01/01/2015 18:27:49,575797008,beaniegoldsmith,Team last night    http://t.co/TAqd6Fjs89,Kingston upon Thames,,0,2015-01-01 18:27:49,1,Team last night,"['team', 'last', 'night']",False,False,True
1048,550717627853991936,,-0.272978,51.398742999999996,-0.2729780077934265,51.39874267578125,01/01/2015 18:18:08,1348662787,Deccers_8,Cahill Sleeping,Kingston upon Thames,,0,2015-01-01 18:18:08,1,Cahill Sleeping,"['cahil', 'sleep']",False,False,True
1050,550718901198532609,,-0.255267,51.424620000000004,-0.2552669942378998,51.42462158203125,01/01/2015 18:23:12,707825858,AllowMePls,These pathetic arsenal fans abusing Wenger are soo fucking sad; it was clearly the players fault. I swear sometimes i hate arsenal fans,Kingston upon Thames,,0,2015-01-01 18:23:12,1,These pathetic arsenal fans abusing Wenger are soo fucking sad it was clearly the players fault I swear sometimes i hate arsenal fans,"['these', 'pathet', 'arsen', 'fan', 'abus', 'wenger', 'are', 'soo', 'fuck', 'sad', 'it', 'wa', 'clearli', 'the', 'player', 'fault', 'I', 'swear', 'sometim', 'i', 'hate', 'arsen', 'fan']",False,False,True
1054,550717477932761088,,-0.27297899999999997,51.398742999999996,-0.2729789912700653,51.39874267578125,01/01/2015 18:17:33,1348662787,Deccers_8,even tho Costa scores every game; he is not even that good tbh; been shit recently,Kingston upon Thames,,0,2015-01-01 18:17:33,1,even tho Costa scores every game he is not even that good tbh been shit recently,"['even', 'tho', 'costa', 'score', 'everi', 'game', 'he', 'is', 'not', 'even', 'that', 'good', 'tbh', 'been', 'shit', 'recent']",False,False,True
1055,550723821251350528,,-0.286713,51.416897,-0.28671300411224365,51.41689682006836,01/01/2015 18:42:45,99181226,adey1212,Chelsea fans?,Kingston upon Thames,,0,2015-01-01 18:42:45,1,Chelsea fans,"['chelsea', 'fan']",False,False,True
1056,550725785800433664,,-0.28637399999999996,51.3923,-0.2863740026950836,51.39229965209961,01/01/2015 18:50:33,848195054,lou_dogg5,Game on #Chelsea,Kingston upon Thames,Chelsea,0,2015-01-01 18:50:33,1,Game on,"['game', 'on']",False,False,True
1058,550719281517051904,,-0.27304,51.398773,-0.2730399966239929,51.39877319335938,01/01/2015 18:24:43,1348662787,Deccers_8,bring Drogba And Rami On. Need To Sort Things Out; Can't Loose To One Of The Shittest Teams,Kingston upon Thames,,0,2015-01-01 18:24:43,1,bring Drogba And Rami On Need To Sort Things Out Can t Loose To One Of The Shittest Teams,"['bring', 'drogba', 'and', 'rami', 'On', 'need', 'To', 'sort', 'thing', 'out', 'can', 't', 'loos', 'To', 'one', 'Of', 'the', 'shittest', 'team']",False,False,True
1064,550721648417329153,,-0.27305799999999997,51.398740000000004,-0.2730579972267151,51.39873886108398,01/01/2015 18:34:07,1348662787,Deccers_8,need to sort second half out. hopefully Mourinho killed them,Kingston upon Thames,,0,2015-01-01 18:34:07,1,need to sort second half out hopefully Mourinho killed them,"['need', 'to', 'sort', 'second', 'half', 'out', 'hope', 'mourinho', 'kill', 'them']",False,True,True
1067,550726030001197056,,-0.313639,51.390316,-0.3136389851570129,51.39031600952149,01/01/2015 18:51:32,351900884,CharlieRyan96,Come on Chelsea fucking into them cunts!!!,Kingston upon Thames,,0,2015-01-01 18:51:32,1,Come on Chelsea fucking into them cunts,"['come', 'on', 'chelsea', 'fuck', 'into', 'them', 'cunt']",False,False,True
1070,550723428194729985,,-0.27305799999999997,51.398734999999995,-0.2730579972267151,51.39873504638672,01/01/2015 18:41:11,1348662787,Deccers_8,looool   were so shit   Kane is a fucking baller rate him too much,Kingston upon Thames,,0,2015-01-01 18:41:11,1,looool were so shit Kane is a fucking baller rate him too much,"['looool', 'were', 'so', 'shit', 'kane', 'is', 'a', 'fuck', 'baller', 'rate', 'him', 'too', 'much']",False,False,True
1075,550723745980354560,,-0.291243,51.379826,-0.2912429869174957,51.37982559204102,01/01/2015 18:42:27,1144968385,basedchiraga,fucksake what kind of joke is this play?,Kingston upon Thames,,0,2015-01-01 18:42:27,1,fucksake what kind of joke is this play,"['fucksak', 'what', 'kind', 'of', 'joke', 'is', 'thi', 'play']",False,False,True
1078,550717832401788928,,-0.303262,51.387894,-0.30326199531555176,51.38789367675781,01/01/2015 18:18:57,599597636,LukePearce_,Fuck off Tottenham,Kingston upon Thames,,0,2015-01-01 18:18:57,1,Fuck off Tottenham,"['fuck', 'off', 'tottenham']",False,False,True
1112,550740200851509248,,-0.298392,51.41069,-0.2983919978141785,51.41069030761719,01/01/2015 19:47:50,10557112,thecuriosity,Moving to a safer place so we don't get lynched by Chelsea fans (@ The Fighting Cocks) https://t.co/anBA9uu5Jh,Kingston upon Thames,,0,2015-01-01 19:47:50,1,Moving to a safer place so we don t get lynched by Chelsea fans The Fighting Cocks,"['move', 'to', 'a', 'safer', 'place', 'so', 'we', 'don', 't', 'get', 'lynch', 'by', 'chelsea', 'fan', 'the', 'fight', 'cock']",False,False,True
1143,550812581414596608,,-0.26911799999999997,51.425117,-0.2691180109977722,51.42511749267578,02/01/2015 00:35:27,32999160,Bilal_Chohan,@Liam_Des hmm a good evil maybe. Play on till next stoppage and 4th officials views on screen. Adds 5 mins on to game max.,Kingston upon Thames,,0,2015-02-01 00:35:27,1,hmm a good evil maybe Play on till next stoppage and th officials views on screen Adds mins on to game max,"['hmm', 'a', 'good', 'evil', 'mayb', 'play', 'on', 'till', 'next', 'stoppag', 'and', 'th', 'offici', 'view', 'on', 'screen', 'add', 'min', 'on', 'to', 'game', 'max']",False,False,True
1181,550768244811112448,,-0.29540500000000003,51.377604999999996,-0.2954050004482269,51.37760543823242,01/01/2015 21:39:16,483244499,martinpowell4,@NursingEmma Rugby is good used to play it in me youth       ,Kingston upon Thames,,0,2015-01-01 21:39:16,1,Rugby is good used to play it in me youth,"['rugbi', 'is', 'good', 'use', 'to', 'play', 'it', 'in', 'me', 'youth']",False,False,True
1197,550771625474658305,,-0.293387,51.416709999999995,-0.2933869957923889,51.416709899902344,01/01/2015 21:52:43,450719269,manda10110,@Sandypandy74 pronounced dead then heart beats at the end Duh Duh Duh Duh....!,Kingston upon Thames,,0,2015-01-01 21:52:43,1,pronounced dead then heart beats at the end Duh Duh Duh Duh,"['pronounc', 'dead', 'then', 'heart', 'beat', 'at', 'the', 'end', 'duh', 'duh', 'duh', 'duh']",False,True,True
1223,550732238091202561,,-0.273003,51.398647,-0.2730030119419098,51.39864730834961,01/01/2015 19:16:12,1348662787,Deccers_8,if Salah would have scored!,Kingston upon Thames,,0,2015-01-01 19:16:12,1,if Salah would have scored,"['if', 'salah', 'would', 'have', 'score']",False,False,True
1227,550730341435338752,,-0.255691,51.386996999999994,-0.2556909918785095,51.38699722290039,01/01/2015 19:08:40,210221420,Jack_Colquhoun,Arsenal fans mocking Chelsea need to probably focus more on the fact we lost; again.,Kingston upon Thames,,0,2015-01-01 19:08:40,1,Arsenal fans mocking Chelsea need to probably focus more on the fact we lost again,"['arsen', 'fan', 'mock', 'chelsea', 'need', 'to', 'probabl', 'focu', 'more', 'on', 'the', 'fact', 'we', 'lost', 'again']",False,False,True
1245,550735619123859456,,-0.30081199999999997,51.382422999999996,-0.3008120059967041,51.3824234008789,01/01/2015 19:29:38,32381742,arfry68,@piggsyphil Fair play cunt,Kingston upon Thames,,0,2015-01-01 19:29:38,1,Fair play cunt,"['fair', 'play', 'cunt']",False,False,True
1250,550730675188678656,,-0.27302,51.39873,-0.2730199992656708,51.39873123168945,01/01/2015 19:09:59,1348662787,Deccers_8,Fabregas 150;000K a week; can't even beat the first man,Kingston upon Thames,,0,2015-01-01 19:09:59,1,Fabregas K a week can t even beat the first man,"['fabrega', 'K', 'a', 'week', 'can', 't', 'even', 'beat', 'the', 'first', 'man']",False,False,True
1252,550731021151649792,,-0.255626,51.38726,-0.255625993013382,51.38726043701172,01/01/2015 19:11:22,210221420,Jack_Colquhoun,What a game though,Kingston upon Thames,,0,2015-01-01 19:11:22,1,What a game though,"['what', 'a', 'game', 'though']",False,False,True
1255,550730127165100032,,-0.25524600000000003,51.42457,-0.25524601340293884,51.42456817626953,01/01/2015 19:07:49,707825858,AllowMePls,Tottenham just done madness     ,Kingston upon Thames,,0,2015-01-01 19:07:49,1,Tottenham just done madness,"['tottenham', 'just', 'done', 'mad']",False,False,True
1271,550732018007703552,,-0.29292399999999996,51.361214000000004,-0.2929239869117737,51.36121368408203,01/01/2015 19:15:19,19861703,AdmiralPellaeon,Are we Tottenham is disguise? ....Are we Tottenham in disguise!!! #CFC,Kingston upon Thames,CFC,0,2015-01-01 19:15:19,1,Are we Tottenham is disguise Are we Tottenham in disguise,"['are', 'we', 'tottenham', 'is', 'disguis', 'are', 'we', 'tottenham', 'in', 'disguis']",False,False,True
